Date,Close,Contract,Year,ContractSymbol,ContractSymbol1
2015-01-13,20.2,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-13,19.74,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-13,19.6,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-13,19.7,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-13,19.8,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-13,19.9,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-13,20.2,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-13,20.25,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-13,20.5,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-14,20.6,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-14,19.9,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-14,19.6,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-14,19.7,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-14,19.8,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-14,19.9,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-14,20.2,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-14,20.34,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-14,20.5,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-15,21.5,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-15,20.8,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-15,20.38,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-15,20.35,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-15,20.33,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-15,20.35,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-15,20.55,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-15,20.5,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-15,20.65,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-16,20.65,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-16,20.15,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-16,20.05,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-16,20.1,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-16,20.2,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-16,20.2,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-16,20.5,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-16,20.45,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-16,20.5,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-20,20.15,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-20,20.1,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-20,20.05,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-20,20.1,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-20,20.2,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-20,20.25,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-20,20.45,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-20,20.52,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-20,20.65,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-21,20.6,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-21,18.85,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-21,19.05,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-21,19.3,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-21,19.5,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-21,19.6,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-21,19.8,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-21,19.87,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-21,20.06,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-22,17.85,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-22,18.1,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-22,18.6,CFE_VX_J5,2015,VX/J5,VX/J5_2015
